id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
25737044,饺子,"《饺子》是当代知名作家李碧华的代表作合集，收录了《潮州巷》《钥匙》《寻找蛋挞》《猫柳春眠水子地藏》《饺子》五部中短篇小说，讲述发生在现代都市中的一系列惊情故事，情节曲折离奇，文字妖媚冷艳、诡异森冷，与情节相得益彰。《饺子》独到深刻地透视了当代都市男女的情爱得失，以及隐藏在霓虹灯下的欲念与疯狂，读来引人入胜又发人深省。
菁菁当新娘子时，许过三个愿望：
“我希望我的男人永远爱我！”
“我希望永远都开心！”
“我希望——永远青春美丽！”
中年失意的她听到一个有关饺子的不老传说。屋邨有一家私房菜馆子，那里有全世界最贵的饺子，馅料是不传之秘。
头一次吃，恶心呕吐。第二次吃，满嘴甜汁。第三次第四次，慢慢咀嚼，半天也舍不得吞下，像不愿醒的梦。
菁菁要吃到最好的饺子，一口回春。",https://dou.img.lithub.cc/book/25737044.jpg,2013-11,https://book.douban.com/subject/25737044/,8.2,,5,恨太晚读到，李碧华的短篇写得太好了吧！,,2024-08-26 22:50:50,李碧华 / 2013 / 新星出版社
36460199,权力：为什么只为某些人所拥有,,https://dou.img.lithub.cc/book/36460199.jpg,,https://book.douban.com/subject/36460199/,0,,,,,2023-10-06 20:24:17,[美]?杰弗瑞·菲佛?（Jeffrey Pfeffer）著  杨洋 译 湛庐出品 / 中国财政经济出版社
36243264,床，沙发，我的人生,"※如果无所事事让你感到快乐，那就不算是虚度人生。
※近18万人关注，直呼“世另我”。豆瓣8.3高分电影《轻松自由》原著小说！
“我喜欢无聊，喜欢虚度光阴，喜欢停顿，喜欢时间停滞的瞬间，我也喜欢等待，以及长途旅行。我喜欢事情的准备阶段。对于我，梦想着做某事比实际做某事更好 。”
————————
主人公“那谁”（是的，他没有自己的名字）是个心情不好的年轻人——他不明白为什么世界要运转得那么快。人们仿佛都知道自己在做什么，想要什么，要去何方。而所有这些确定性都令他生厌，使他嫉妒。
他总被人说：
“你这是在虚度生命，你会后悔的。”
“那谁”从不反驳，只是在想：
我没有虚度生命，只是在看着生命流逝，就像任何一个无所事事的人一样，不同之处在于——我是一个心满意足的观众。",https://dou.img.lithub.cc/book/36243264.jpg,2023-3,https://book.douban.com/subject/36243264/,7.9,,5,,,2023-09-28 19:58:03,[法] 罗曼·莫内里 / 2023 / 中信出版集团